Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Lugia,249,,,○,○,Psychic,Flying,"30,720",Undiscovered,----,Pressure,----,Multiscale,----,,,,,,,,,,,,,,,,,,,,,,,Water Spout,Water,,,,Houndoominite,,,,,,,,
Ho-Oh,250,,,○,○,Fire,Flying,"30,720",Undiscovered,----,Pressure,----,Regenerator,----,,,,,,,,,,,,,,,,,,,,,,,Signal Beam,Bug,,,,Kangaskhanite,,,,,,,,
Celebi,251,,,○,○,Psychic,Grass,"30,720",Undiscovered,----,Natural Cure,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Shadow Punch,Ghost,,,,Latiasite,,,,,,,,
Treecko,252,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Monster,Dragon,Overgrow,----,Unburden,----,Bullet Seed,Crunch,Crush Claw,Double Kick,Dragon Breath,Grass Whistle,Grassy Terrain,Leech Seed,Magical Leaf,Mud Sport,Natural Gift,Razor Wind,Synthesis,Worry Seed,,,,,,,,,Extrasensory,Psychic,,,,Latiosite,,,,,,,,
Grovyle,253,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Monster,Dragon,Overgrow,----,Unburden,----,Bullet Seed,Crunch,Crush Claw,Double Kick,Dragon Breath,Grass Whistle,Grassy Terrain,Leech Seed,Magical Leaf,Mud Sport,Natural Gift,Razor Wind,Synthesis,Worry Seed,,,,,,,,,Sky Uppercut,Fighting,,,,Lopunnite,,,,,,,,
Sceptile,254,,,♂ 88.1%,♀ 11.9%,Grass,----,"5,120",Monster,Dragon,Overgrow,----,Unburden,----,Bullet Seed,Crunch,Crush Claw,Double Kick,Dragon Breath,Grass Whistle,Grassy Terrain,Leech Seed,Magical Leaf,Mud Sport,Natural Gift,Razor Wind,Synthesis,Worry Seed,,,,,,,,,Sand Tomb,Ground,,,,Lucarionite,,,,,,,,
Mega Sceptile,254,,,♂ 88.1%,♀ 11.9%,Grass,Dragon,"5,120",Monster,Dragon,Lightning Rod,----,----,----,Bullet Seed,Crunch,Crush Claw,Double Kick,Dragon Breath,Grass Whistle,Grassy Terrain,Leech Seed,Magical Leaf,Mud Sport,Natural Gift,Razor Wind,Synthesis,Worry Seed,,,,,,,,,Sheer Cold,Ice,,,,Manectite,,,,,,,,
Torchic,255,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Field,----,Blaze,----,Speed Boost,----,Agility,Baton Pass,Counter,Crush Claw,Curse,Endure,Feather Dance,Feint,Last Resort,Low Kick,Night Slash,Reversal,Smelling Salts,,,,,,,,,,Muddy Water,Water,,,,Mawilite,,,,,,,,
Combusken,256,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,----,Blaze,----,Speed Boost,----,Agility,Baton Pass,Counter,Crush Claw,Curse,Endure,Feather Dance,Feint,Last Resort,Low Kick,Night Slash,Reversal,Smelling Salts,,,,,,,,,,Bullet Seed,Grass,,,,Medichamite,,,,,,,,
Blaziken,257,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,----,Blaze,----,Speed Boost,----,Agility,Baton Pass,Counter,Crush Claw,Curse,Endure,Feather Dance,Feint,Last Resort,Low Kick,Night Slash,Reversal,Smelling Salts,,,,,,,,,,Aerial Ace,Flying,,,,Metagrossite,,,,,,,,
Mega Blaziken,257,,,♂ 88.1%,♀ 11.9%,Fire,Fighting,"5,120",Field,----,Speed Boost,----,----,----,Agility,Baton Pass,Counter,Crush Claw,Curse,Endure,Feather Dance,Feint,Last Resort,Low Kick,Night Slash,Reversal,Smelling Salts,,,,,,,,,,Icicle Spear,Ice,,,,Mewtwonite X,,,,,,,,
Mudkip,258,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Monster,Water 1,Torrent,----,Damp,----,Ancient Power,Avalanche,Barrier,Bite,Counter,Curse,Double-Edge,Ice Ball,Mirror Coat,Refresh,Sludge,Stomp,Uproar,Wide Guard,Yawn,,,,,,,,Iron Defense,Steel,,,,Mewtwonite Y,,,,,,,,
Marshtomp,259,,,♂ 88.1%,♀ 11.9%,Water,Ground,"5,120",Monster,Water 1,Torrent,----,Damp,----,Ancient Power,Avalanche,Barrier,Bite,Counter,Curse,Double-Edge,Ice Ball,Mirror Coat,Refresh,Sludge,Stomp,Uproar,Wide Guard,Yawn,,,,,,,,Block,Normal,,,,Pidgeotite,,,,,,,,
Swampert,260,,,♂ 88.1%,♀ 11.9%,Water,Ground,"5,120",Monster,Water 1,Torrent,----,Damp,----,Ancient Power,Avalanche,Barrier,Bite,Counter,Curse,Double-Edge,Ice Ball,Mirror Coat,Refresh,Sludge,Stomp,Uproar,Wide Guard,Yawn,,,,,,,,Howl,Normal,,,,Pinsirite,,,,,,,,
Mega Swampert,260,,,♂ 88.1%,♀ 11.9%,Water,Ground,"5,120",Monster,Water 1,Swift Swim,----,----,----,Ancient Power,Avalanche,Barrier,Bite,Counter,Curse,Double-Edge,Ice Ball,Mirror Coat,Refresh,Sludge,Stomp,Uproar,Wide Guard,Yawn,,,,,,,,Dragon Claw,Dragon,,,,Sablenite,,,,,,,,
Poochyena,261,,,♂ 50%,♀ 50%,Dark,----,"3,840",Field,----,Run Away,Quick Feet,Rattled,----,Astonish,Covet,Leer,Me First,Poison Fang,Snatch,,,,,,,,,,,,,,,,,Frenzy Plant,Grass,,,,Salamencite,,,,,,,,
Mightyena,262,,,♂ 50%,♀ 50%,Dark,----,"3,840",Field,----,Intimidate,Quick Feet,Moxie,----,Astonish,Covet,Leer,Me First,Poison Fang,Snatch,,,,,,,,,,,,,,,,,Bulk Up,Fighting,,,,Sceptilite,,,,,,,,
Zigzagoon,263,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Pickup,Gluttony,Quick Feet,----,Charm,Helping Hand,Mud-Slap,Pursuit,Rock Climb,Simple Beam,Tickle,Trick,,,,,,,,,,,,,,,Bounce,Flying,,,,Scizorite,,,,,,,,
Linoone,264,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Pickup,Gluttony,Quick Feet,----,Charm,Helping Hand,Mud-Slap,Pursuit,Rock Climb,Simple Beam,Tickle,Trick,,,,,,,,,,,,,,,Mud Shot,Ground,,,,Sharpedonite,,,,,,,,
Wurmple,265,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shield Dust,----,Run Away,----,,,,,,,,,,,,,,,,,,,,,,,Poison Tail,Poison,,,,Slowbronite,,,,,,,,
Silcoon,266,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Covet,Normal,,,,Steelixite,,,,,,,,
Beautifly,267,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Swarm,----,Rivalry,----,,,,,,,,,,,,,,,,,,,,,,,Volt Tackle,Electric,,,,Swampertite,,,,,,,,
Cascoon,268,,,♂ 50%,♀ 50%,Bug,----,"3,840",Bug,----,Shed Skin,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Magical Leaf,Grass,,,,Tyranitarite,,,,,,,,
Dustox,269,,,♂ 50%,♀ 50%,Bug,Poison,"3,840",Bug,----,Shield Dust,----,Compound Eyes,----,,,,,,,,,,,,,,,,,,,,,,,Water Sport,Water,,,,Venusaurite,,,,,,,,
Lotad,270,,,♂ 50%,♀ 50%,Water,Grass,"3,840",Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,----,Counter,Flail,Leech Seed,Razor Leaf,Sweet Scent,Synthesis,Teeter Dance,Tickle,Water Gun,,,,,,,,,,,,,,Calm Mind,Psychic,,,,Bug Memory,,,,,,,,
Lombre,271,,,♂ 50%,♀ 50%,Water,Grass,"3,840",Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,----,Counter,Flail,Leech Seed,Razor Leaf,Sweet Scent,Synthesis,Teeter Dance,Tickle,Water Gun,,,,,,,,,,,,,,Leaf Blade,Grass,,,,Dark Memory,,,,,,,,
Ludicolo,272,,,♂ 50%,♀ 50%,Water,Grass,"3,840",Water 1,Grass,Swift Swim,Rain Dish,Own Tempo,----,Counter,Flail,Leech Seed,Razor Leaf,Sweet Scent,Synthesis,Teeter Dance,Tickle,Water Gun,,,,,,,,,,,,,,Dragon Dance,Dragon,,,,Dragon Memory,,,,,,,,
Seedot,273,,,♂ 50%,♀ 50%,Grass,----,"3,840",Field,Grass,Chlorophyll,Early Bird,Pickpocket,----,Amnesia,Beat Up,Bullet Seed,Defog,Foul Play,Grassy Terrain,Leech Seed,Power Swap,Quick Attack,Take Down,Worry Seed,,,,,,,,,,,,Rock Blast,Rock,,,,Electric Memory,,,,,,,,
Nuzleaf,274,,,♂ 50%,♀ 50%,Grass,Dark,"3,840",Field,Grass,Chlorophyll,Early Bird,Pickpocket,----,Amnesia,Beat Up,Bullet Seed,Defog,Foul Play,Grassy Terrain,Leech Seed,Power Swap,Quick Attack,Take Down,Worry Seed,,,,,,,,,,,,Shock Wave,Electric,,,,Fairy Memory,,,,,,,,
Shiftry,275,,,♂ 50%,♀ 50%,Grass,Dark,"3,840",Field,Grass,Chlorophyll,Early Bird,Pickpocket,----,Amnesia,Beat Up,Bullet Seed,Defog,Foul Play,Grassy Terrain,Leech Seed,Power Swap,Quick Attack,Take Down,Worry Seed,,,,,,,,,,,,Water Pulse,Water,,,,Fighting Memory,,,,,,,,
Taillow,276,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Guts,----,Scrappy,----,Boomburst,Defog,Hurricane,Mirror Move,Pursuit,Rage,Refresh,Sky Attack,Supersonic,Whirlwind,,,,,,,,,,,,,Doom Desire,Steel,,,,Fire Memory,,,,,,,,
Swellow,277,,,♂ 50%,♀ 50%,Normal,Flying,"3,840",Flying,----,Guts,----,Scrappy,----,Boomburst,Defog,Hurricane,Mirror Move,Pursuit,Rage,Refresh,Sky Attack,Supersonic,Whirlwind,,,,,,,,,,,,,Psycho Boost,Psychic,,,,Flying Memory,,,,,,,,
Wingull,278,,,♂ 50%,♀ 50%,Water,Flying,"5,120",Water 1,Flying,Keen Eye,Hydration,Rain Dish,----,Aqua Ring,Gust,Knock Off,Twister,Wide Guard,,,,,,,,,,,,,,,,,,Roost,Flying,,,,Ghost Memory,,,,,,,,
Pelipper,279,,,♂ 50%,♀ 50%,Water,Flying,"5,120",Water 1,Flying,Keen Eye,Drizzle,Rain Dish,----,Aqua Ring,Gust,Knock Off,Twister,Wide Guard,,,,,,,,,,,,,,,,,,Gravity,Psychic,,,,Grass Memory,,,,,,,,
Ralts,280,,,♂ 50%,♀ 50%,Psychic,Fairy,"5,120",Amorphous,----,Synchronize,Trace,Telepathy,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Miracle Eye,Psychic,,,,Ground Memory,,,,,,,,
Kirlia,281,,,♂ 50%,♀ 50%,Psychic,Fairy,"5,120",Amorphous,----,Synchronize,Trace,Telepathy,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Wake-Up Slap,Fighting,,,,Ice Memory,,,,,,,,
Gardevoir,282,,,♂ 50%,♀ 50%,Psychic,Fairy,"5,120",Amorphous,----,Synchronize,Trace,Telepathy,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Hammer Arm,Fighting,,,,Poison Memory,,,,,,,,
Mega Gardevoir,282,,,♂ 50%,♀ 50%,Psychic,Fairy,"5,120",Amorphous,----,Pixelate,----,----,----,Ally Switch,Confuse Ray,Destiny Bond,Disable,Encore,Grudge,Mean Look,Memento,Misty Terrain,Shadow Sneak,Skill Swap,Synchronoise,,,,,,,,,,,Gyro Ball,Steel,,,,Psychic Memory,,,,,,,,
Surskit,283,,,♂ 50%,♀ 50%,Bug,Water,"3,840",Water 1,Bug,Swift Swim,----,Rain Dish,----,Bug Bite,Endure,Fell Stinger,Foresight,Hydro Pump,Lunge,Mind Reader,Mud Shot,Power Split,Psybeam,Signal Beam,,,,,,,,,,,,Healing Wish,Psychic,,,,Rock Memory,,,,,,,,
Masquerain,284,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Water 1,Bug,Intimidate,----,Unnerve,----,Bug Bite,Endure,Fell Stinger,Foresight,Hydro Pump,Lunge,Mind Reader,Mud Shot,Power Split,Psybeam,Signal Beam,,,,,,,,,,,,Brine,Water,,,,Steel Memory,,,,,,,,
Shroomish,285,,,♂ 50%,♀ 50%,Grass,----,"3,840",Fairy,Grass,Effect Spore,Poison Heal,Quick Feet,----,Bullet Seed,Charm,Drain Punch,Fake Tears,Focus Punch,Helping Hand,Natural Gift,Wake-Up Slap,,,,,,,,,,,,,,,Natural Gift,Normal,,,,Water Memory,,,,,,,,
Breloom,286,,,♂ 50%,♀ 50%,Grass,Fighting,"3,840",Fairy,Grass,Effect Spore,Poison Heal,Technician,----,Bullet Seed,Charm,Drain Punch,Fake Tears,Focus Punch,Helping Hand,Natural Gift,Wake-Up Slap,,,,,,,,,,,,,,,Feint,Normal,,,,Bottle Cap,,,,,,,,
Slakoth,287,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Truant,----,----,----,After You,Body Slam,Crush Claw,Curse,Night Slash,Pursuit,Snore,Tickle,,,,,,,,,,,,,,,Pluck,Flying,,,,Discount Coupon,,,,,,,,
Vigoroth,288,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Vital Spirit,----,----,----,After You,Body Slam,Crush Claw,Curse,Night Slash,Pursuit,Snore,Tickle,,,,,,,,,,,,,,,Tailwind,Flying,,,,Escape Rope,,,,,,,,
Slaking,289,,,♂ 50%,♀ 50%,Normal,----,"3,840",Field,----,Truant,----,----,----,After You,Body Slam,Crush Claw,Curse,Night Slash,Pursuit,Snore,Tickle,,,,,,,,,,,,,,,Acupressure,Normal,,,,Fluffy Tail,,,,,,,,
Nincada,290,,,♂ 50%,♀ 50%,Bug,Ground,"3,840",Bug,----,Compound Eyes,----,Run Away,----,Bug Buzz,Endure,Feint Attack,Final Gambit,Gust,Night Slash,Silver Wind,,,,,,,,,,,,,,,,Metal Burst,Steel,,,,Gold Bottle Cap,,,,,,,,
Ninjask,291,,,♂ 50%,♀ 50%,Bug,Flying,"3,840",Bug,----,Speed Boost,----,Infiltrator,----,Bug Buzz,Endure,Feint Attack,Final Gambit,Gust,Night Slash,Silver Wind,,,,,,,,,,,,,,,,U-turn,Bug,,,,Heart Scale,,,,,,,,
Shedinja,292,,,○,○,Bug,Ghost,"3,840",Mineral,----,Wonder Guard,----,----,----,,,,,,,,,,,,,,,,,,,,,,,Close Combat,Fighting,,,,Honey,,,,,,,,
Whismur,293,,,♂ 50%,♀ 50%,Normal,----,"5,120",Monster,Field,Soundproof,----,Rattled,----,Circle Throw,Disarming Voice,Endeavor,Extrasensory,Fake Tears,Hammer Arm,Smelling Salts,Smokescreen,Snore,Take Down,,,,,,,,,,,,,Payback,Dark,,,,Max Repel,,,,,,,,
Loudred,294,,,♂ 50%,♀ 50%,Normal,----,"5,120",Monster,Field,Soundproof,----,Scrappy,----,Circle Throw,Disarming Voice,Endeavor,Extrasensory,Fake Tears,Hammer Arm,Smelling Salts,Smokescreen,Snore,Take Down,,,,,,,,,,,,,Assurance,Dark,,,,Odd Keystone,,,,,,,,
Exploud,295,,,♂ 50%,♀ 50%,Normal,----,"5,120",Monster,Field,Soundproof,----,Scrappy,----,Circle Throw,Disarming Voice,Endeavor,Extrasensory,Fake Tears,Hammer Arm,Smelling Salts,Smokescreen,Snore,Take Down,,,,,,,,,,,,,Embargo,Dark,,,,Pass Orb,,,,,,,,
Makuhita,296,,,♂ 75%,♀ 25%,Fighting,----,"5,120",Human-Like,----,Thick Fat,Guts,Sheer Force,----,Bullet Punch,Chip Away,Counter,Cross Chop,Detect,Dynamic Punch,Feint,Feint Attack,Focus Punch,Foresight,Helping Hand,Revenge,Wide Guard,,,,,,,,,,Fling,Dark,,,,Pink Nectar,,,,,,,,
Hariyama,297,,,♂ 75%,♀ 25%,Fighting,----,"5,120",Human-Like,----,Thick Fat,Guts,Sheer Force,----,Bullet Punch,Chip Away,Counter,Cross Chop,Detect,Dynamic Punch,Feint,Feint Attack,Focus Punch,Foresight,Helping Hand,Revenge,Wide Guard,,,,,,,,,,Psycho Shift,Psychic,,,,Poke Doll,,,,,,,,
Azurill,298,,,♂ 25%,♀ 75%,Normal,----,"2,560",Undiscovered,----,Thick Fat,Huge Power,Sap Sipper,----,Body Slam,Camouflage,Copycat,Fake Tears,Muddy Water,Refresh,Sing,Soak,Tickle,,,,,,,,,,,,,,Trump Card,Normal,,,,Poke Toy,,,,,,,,
Nosepass,299,,,♂ 50%,♀ 50%,Rock,----,"5,120",Mineral,----,Sturdy,Magnet Pull,Sand Force,----,Double-Edge,Endure,Magnitude,Rollout,Stealth Rock,,,,,,,,,,,,,,,,,,Heal Block,Psychic,,,,Purple Nectar,,,,,,,,
Skitty,300,,,♂ 25%,♀ 75%,Normal,----,"3,840",Field,Fairy,Cute Charm,Normalize,Wonder Skin,----,Baton Pass,Cosmic Power,Fake Tears,Helping Hand,Last Resort,Mud Bomb,Simple Beam,Sucker Punch,Tickle,Uproar,Wish,Zen Headbutt,,,,,,,,,,,Wring Out,Normal,,,,Red Nectar,,,,,,,,
Delcatty,301,,,♂ 25%,♀ 75%,Normal,----,"3,840",Field,Fairy,Cute Charm,Normalize,Wonder Skin,----,Baton Pass,Cosmic Power,Fake Tears,Helping Hand,Last Resort,Mud Bomb,Simple Beam,Sucker Punch,Tickle,Uproar,Wish,Zen Headbutt,,,,,,,,,,,Power Trick,Psychic,,,,Repel,,,,,,,,
Sableye,302,,,♂ 50%,♀ 50%,Dark,Ghost,"6,240",Human-Like,----,Keen Eye,Stall,Prankster,----,Captivate,Feint,Flatter,Imprison,Metal Burst,Moonlight,Nasty Plot,Recover,Sucker Punch,Trick,,,,,,,,,,,,,Gastro Acid,Poison,,,,Soothe Bell,,,,,,,,
Mega Sableye,302,,,♂ 50%,♀ 50%,Dark,Ghost,"6,240",Human-Like,----,Magic Bounce,----,----,----,Captivate,Feint,Flatter,Imprison,Metal Burst,Moonlight,Nasty Plot,Recover,Sucker Punch,Trick,,,,,,,,,,,,,Lucky Chant,Normal,,,,Strange Souvenir,,,,,,,,
Mawile,303,,,♂ 50%,♀ 50%,Steel,Fairy,"5,120",Field,Fairy,Hyper Cutter,Intimidate,Sheer Force,----,Ancient Power,Captivate,Fire Fang,Guard Swap,Ice Fang,Metal Burst,Misty Terrain,Poison Fang,Punishment,Seismic Toss,Slam,Thunder Fang,Tickle,,,,,,,,,,Me First,Normal,,,,Super Repel,,,,,,,,
Mega Mawile,303,,,♂ 50%,♀ 50%,Steel,Fairy,"5,120",Field,Fairy,Huge Power,----,----,----,Ancient Power,Captivate,Fire Fang,Guard Swap,Ice Fang,Metal Burst,Misty Terrain,Poison Fang,Punishment,Seismic Toss,Slam,Thunder Fang,Tickle,,,,,,,,,,Copycat,Normal,,,,Yellow Nectar,,,,,,,,
Aron,304,,,♂ 50%,♀ 50%,Steel,Rock,"8,960",Monster,----,Sturdy,Rock Head,Heavy Metal,----,Body Slam,Curse,Dragon Rush,Endeavor,Head Smash,Reversal,Screech,Smelling Salts,Stealth Rock,Stomp,Superpower,,,,,,,,,,,,Power Swap,Psychic,,,,Draco Plate,,,,,,,,
Lairon,305,,,♂ 50%,♀ 50%,Steel,Rock,"8,960",Monster,----,Sturdy,Rock Head,Heavy Metal,----,Body Slam,Curse,Dragon Rush,Endeavor,Head Smash,Reversal,Screech,Smelling Salts,Stealth Rock,Stomp,Superpower,,,,,,,,,,,,Guard Swap,Psychic,,,,Dread Plate,,,,,,,,
Aggron,306,,,♂ 50%,♀ 50%,Steel,Rock,"8,960",Monster,----,Sturdy,Rock Head,Heavy Metal,----,Body Slam,Curse,Dragon Rush,Endeavor,Head Smash,Reversal,Screech,Smelling Salts,Stealth Rock,Stomp,Superpower,,,,,,,,,,,,Punishment,Dark,,,,Earth Plate,,,,,,,,
Mega Aggron,306,,,♂ 50%,♀ 50%,Steel,----,"8,960",Monster,----,Filter,----,----,----,Body Slam,Curse,Dragon Rush,Endeavor,Head Smash,Reversal,Screech,Smelling Salts,Stealth Rock,Stomp,Superpower,,,,,,,,,,,,Last Resort,Normal,,,,Fist Plate,,,,,,,,
Meditite,307,,,♂ 50%,♀ 50%,Fighting,Psychic,"5,120",Human-Like,----,Pure Power,----,Telepathy,----,Baton Pass,Bullet Punch,Drain Punch,Dynamic Punch,Fake Out,Foresight,Guard Swap,Power Swap,Psycho Cut,Quick Guard,Secret Power,,,,,,,,,,,,Worry Seed,Grass,,,,Flame Plate,,,,,,,,
Medicham,308,,,♂ 50%,♀ 50%,Fighting,Psychic,"5,120",Human-Like,----,Pure Power,----,Telepathy,----,Baton Pass,Bullet Punch,Drain Punch,Dynamic Punch,Fake Out,Foresight,Guard Swap,Power Swap,Psycho Cut,Quick Guard,Secret Power,,,,,,,,,,,,Sucker Punch,Dark,,,,Icicle Plate,,,,,,,,
Mega Medicham,308,,,♂ 50%,♀ 50%,Fighting,Psychic,"5,120",Human-Like,----,Pure Power,----,----,----,Baton Pass,Bullet Punch,Drain Punch,Dynamic Punch,Fake Out,Foresight,Guard Swap,Power Swap,Psycho Cut,Quick Guard,Secret Power,,,,,,,,,,,,Toxic Spikes,Poison,,,,Insect Plate,,,,,,,,
Electrike,309,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Static,Lightning Rod,Minus,----,Crunch,Curse,Eerie Impulse,Electro Ball,Flame Burst,Headbutt,Ice Fang,Shock Wave,Swift,Switcheroo,Uproar,,,,,,,,,,,,Heart Swap,Psychic,,,,Iron Plate,,,,,,,,
Manectric,310,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Static,Lightning Rod,Minus,----,Crunch,Curse,Eerie Impulse,Electro Ball,Flame Burst,Headbutt,Ice Fang,Shock Wave,Swift,Switcheroo,Uproar,,,,,,,,,,,,Aqua Ring,Water,,,,Meadow Plate,,,,,,,,
Mega Manectric,310,,,♂ 50%,♀ 50%,Electric,----,"5,120",Field,----,Intimidate,----,----,----,Crunch,Curse,Eerie Impulse,Electro Ball,Flame Burst,Headbutt,Ice Fang,Shock Wave,Swift,Switcheroo,Uproar,,,,,,,,,,,,Magnet Rise,Electric,,,,Mind Plate,,,,,,,,
Plusle,311,,,♂ 50%,♀ 50%,Electric,----,"5,120",Fairy,----,Plus,----,Lightning Rod,----,Fake Tears,Lucky Chant,Sing,Sweet Kiss,Wish,,,,,,,,,,,,,,,,,,Flare Blitz,Fire,,,,Pixie Plate,,,,,,,,
Minun,312,,,♂ 50%,♀ 50%,Electric,----,"5,120",Fairy,----,Minus,----,Volt Absorb,----,Charm,Lucky Chant,Sing,Sweet Kiss,Wish,,,,,,,,,,,,,,,,,,Force Palm,Fighting,,,,Sky Plate,,,,,,,,
Volbeat,313,,,♂ 100%,♀ 0%,Bug,----,"3,840",Bug,Human-Like,Illuminate,Swarm,Prankster,----,Baton Pass,Dizzy Punch,Encore,Seismic Toss,Silver Wind,Trick,,,,,,,,,,,,,,,,,Aura Sphere,Fighting,,,,Splash Plate,,,,,,,,
Illumise,314,,,♂ 0%,♀ 100%,Bug,----,"3,840",Bug,Human-Like,Oblivious,Tinted Lens,Prankster,----,Baton Pass,Captivate,Confuse Ray,Fake Tears,Growth,Silver Wind,,,,,,,,,,,,,,,,,Rock Polish,Rock,,,,Spooky Plate,,,,,,,,
Roselia,315,,,♂ 50%,♀ 50%,Grass,Poison,"5,120",Fairy,Grass,Natural Cure,Poison Point,Leaf Guard,----,Bullet Seed,Cotton Spore,Leaf Storm,Mind Reader,Natural Gift,Pin Missile,Razor Leaf,Seed Bomb,Sleep Powder,Spikes,,,,,,,,,,,,,Poison Jab,Poison,,,,Stone Plate,,,,,,,,
Gulpin,316,,,♂ 50%,♀ 50%,Poison,----,"5,120",Amorphous,----,Liquid Ooze,Sticky Hold,Gluttony,----,Acid Armor,Curse,Destiny Bond,Mud-Slap,Pain Split,Smog,,,,,,,,,,,,,,,,,Dark Pulse,Dark,,,,Toxic Plate,,,,,,,,
Swalot,317,,,♂ 50%,♀ 50%,Poison,----,"5,120",Amorphous,----,Liquid Ooze,Sticky Hold,Gluttony,----,Acid Armor,Curse,Destiny Bond,Mud-Slap,Pain Split,Smog,,,,,,,,,,,,,,,,,Night Slash,Dark,,,,Zap Plate,,,,,,,,
Carvanha,318,,,♂ 50%,♀ 50%,Water,Dark,"5,120",Water 2,----,Rough Skin,----,Speed Boost,----,Ancient Power,Brine,Destiny Bond,Double-Edge,Hydro Pump,Psychic Fangs,Swift,Thrash,,,,,,,,,,,,,,,Aqua Tail,Water,,,,Blue Scarf,,,,,,,,
Sharpedo,319,,,♂ 50%,♀ 50%,Water,Dark,"5,120",Water 2,----,Rough Skin,----,Speed Boost,----,Ancient Power,Brine,Destiny Bond,Double-Edge,Hydro Pump,Psychic Fangs,Swift,Thrash,,,,,,,,,,,,,,,Seed Bomb,Grass,,,,Green Scarf,,,,,,,,
Mega Sharpedo,319,,,♂ 50%,♀ 50%,Water,Dark,"5,120",Water 2,----,Strong Jaw,----,----,----,Ancient Power,Brine,Destiny Bond,Double-Edge,Hydro Pump,Psychic Fangs,Swift,Thrash,,,,,,,,,,,,,,,Air Slash,Flying,,,,Pink Scarf,,,,,,,,
Wailmer,320,,,♂ 50%,♀ 50%,Water,----,"10,240",Field,Water 2,Water Veil,Oblivious,Pressure,----,Aqua Ring,Body Slam,Clear Smog,Curse,Defense Curl,Double-Edge,Fissure,Snore,Thrash,Tickle,Zen Headbutt,,,,,,,,,,,,X-Scissor,Bug,,,,Red Scarf,,,,,,,,
Wailord,321,,,♂ 50%,♀ 50%,Water,----,"10,240",Field,Water 2,Water Veil,Oblivious,Pressure,----,Aqua Ring,Body Slam,Clear Smog,Curse,Defense Curl,Double-Edge,Fissure,Snore,Thrash,Tickle,Zen Headbutt,,,,,,,,,,,,Bug Buzz,Bug,,,,Yellow Scarf,,,,,,,,
Numel,322,,,♂ 50%,♀ 50%,Fire,Ground,"5,120",Field,----,Oblivious,Simple,Own Tempo,----,Ancient Power,Body Slam,Defense Curl,Endure,Growth,Heat Wave,Howl,Iron Head,Mud Bomb,Rollout,Scary Face,Spit Up,Stockpile,Stomp,Swallow,,,,,,,,Dragon Pulse,Dragon,,,,Balm Mushroom,,,,,,,,
Camerupt,323,,,♂ 50%,♀ 50%,Fire,Ground,"5,120",Field,----,Magma Armor,Solid Rock,Anger Point,----,Ancient Power,Body Slam,Defense Curl,Endure,Growth,Heat Wave,Howl,Iron Head,Mud Bomb,Rollout,Scary Face,Spit Up,Stockpile,Stomp,Swallow,,,,,,,,Dragon Rush,Dragon,,,,Big Mushroom,,,,,,,,
Mega Camerupt,323,,,♂ 50%,♀ 50%,Fire,Ground,"5,120",Field,----,Sheer Force,----,----,----,Ancient Power,Body Slam,Defense Curl,Endure,Growth,Heat Wave,Howl,Iron Head,Mud Bomb,Rollout,Scary Face,Spit Up,Stockpile,Stomp,Swallow,,,,,,,,Power Gem,Rock,,,,Big Nugget,,,,,,,,
